file, prop_skl_s, region, labor_type,value
"results_0.05_migration","0.05","n","skl",1
"results_0.05_migration","0.05","n","unskl",1
"results_0.05_migration","0.05","s","skl",1
"results_0.05_migration","0.05","s","unskl",1
"results_0.10_migration","0.10","n","skl",1
"results_0.10_migration","0.10","n","unskl",1.12849543381471
"results_0.10_migration","0.10","s","skl",1
"results_0.10_migration","0.10","s","unskl",0.869047603989039
"results_0.15_migration","0.15","n","skl",1
"results_0.15_migration","0.15","n","unskl",1.26679697501784
"results_0.15_migration","0.15","s","skl",1
"results_0.15_migration","0.15","s","unskl",0.749339130580014
"results_0.20_migration","0.20","n","skl",1
"results_0.20_migration","0.20","n","unskl",1.4151800198277
"results_0.20_migration","0.20","s","skl",1
"results_0.20_migration","0.20","s","unskl",0.64047360152488
"results_0.25_migration","0.25","n","skl",1
"results_0.25_migration","0.25","n","unskl",1.57391346880165
"results_0.25_migration","0.25","s","skl",1
"results_0.25_migration","0.25","s","unskl",0.54203945071283
"results_0.30_migration","0.30","n","skl",1
"results_0.30_migration","0.30","n","unskl",1.74325991359685
"results_0.30_migration","0.30","s","skl",1
"results_0.30_migration","0.30","s","unskl",0.453614297027549
"results_0.35_migration","0.35","n","skl",1
"results_0.35_migration","0.35","n","unskl",1.92347583473738
"results_0.35_migration","0.35","s","skl",1
"results_0.35_migration","0.35","s","unskl",0.37476485792251
"results_0.40_migration","0.40","n","skl",1
"results_0.40_migration","0.40","n","unskl",2.11481180736602
"results_0.40_migration","0.40","s","skl",1
"results_0.40_migration","0.40","s","unskl",0.305046773064481
"results_0.45_migration","0.45","n","skl",1
"results_0.45_migration","0.45","n","unskl",2.31751271226201
"results_0.45_migration","0.45","s","skl",1
"results_0.45_migration","0.45","s","unskl",0.244004438046642
"results_0.50_migration","0.50","n","skl",1
"results_0.50_migration","0.50","n","unskl",2.53181795210454
"results_0.50_migration","0.50","s","skl",1
"results_0.50_migration","0.50","s","unskl",0.191170732444984
"results_0.55_migration","0.55","n","skl",1
"results_0.55_migration","0.55","n","unskl",2.75796166231256
"results_0.55_migration","0.55","s","skl",1
"results_0.55_migration","0.55","s","unskl",0.146066595465012
"results_0.60_migration","0.60","n","skl",1
"results_0.60_migration","0.60","n","unskl",2.99617292945229
"results_0.60_migration","0.60","s","skl",1
"results_0.60_migration","0.60","s","unskl",0.108200302991146
"results_0.65_migration","0.65","n","skl",1
"results_0.65_migration","0.65","n","unskl",3.24667600006144
"results_0.65_migration","0.65","s","skl",1
"results_0.65_migration","0.65","s","unskl",0.0770662066606871
"results_0.70_migration","0.70","n","skl",1
"results_0.70_migration","0.70","n","unskl",3.50969048850964
"results_0.70_migration","0.70","s","skl",1
"results_0.70_migration","0.70","s","unskl",0.0521426963506869
